name,desc,devfolioLink,githubLinks,longDesc,special_mention,stacksUsed,result,label
Share And Care - A Food Management Web Application,Live simply so that others may simply live,https://devfolio.co/submissions/share-and-care-a-food-management-web-application-d39a,"[""https://github.com/aniruddha2000/ShareAndCare""]","The problem Share And Care - A Food Management Web Application solves\nFood wastage is a real concern at places where a lot of ready-to-eat food is produced. Create a web/mobile platform to put up leftover food for the nearby locals.\nShare-and-Care is a web app designed to handle such scenarios. People can log in to the Share-and-Care website, create an account, upload details about leftover food by creating a food post, see and filter global food posts. \nWith this web app, we aim to solve the food disbalance in our society, by simply posting about the details of the leftover or excess food. The government organisations, NGOs or people who are in need can simply follow the notifications of the app to get post notifications and may respond accordingly.", ,"[""jQuery"",""HTML"",""CSS"",""Django"",""Python"",""Bootstrap"",""django-filter"",""django-countries"",""jinja-templates""]","{""Category"":""health and wellness"",""average predictions"":0.240317}",health and wellness
SheWalksSafe - A Women Safety Application,"A women safety app that helps women in emergency or dangerous situations or whenever they feel unsafe. Some of the features like Maps, SOS, Voice command, Camera or video, Tips are provided for safety",https://devfolio.co/submissions/shewalkssafe-a-women-safety-application-baa7,"[""https://github.com/rakulvm/ShewalksSafe"",""https://drive.google.com/drive/folders/1g1Tk4TXecYmMW7gexJgKMptP_fS3J8b5?usp=sharing""]","The problem SheWalksSafe - A Women Safety Application solves\nAs women safety has became a huge concern nowadays, the insecurity for the women in rural areas increases day by day. Issues like theft, bullying, sexual injustice increases. So, we have planned use the same to give access to women in serious or dangerous situations to address the issue in a fast and easier way to ensure their security and built an app that could atleast control some of these. We have created an app with some special features like SOS, Voice command, Maps, shake for emergency, camera, police stations, taxi, tips for safety to ensure their safety as much as possible from our side.\nFeatures of our app:-\n⭐ SOS - SOS call and SOS messages to user-provided contacts (Which will be stored in shared preferences).\n⭐ Map - To track the current location of the user, guiding for safe routes and crime-prone areas (user would be able to mark the area safe or can view the number of users that have marked the area as safe, currently we are using crimeometer API to check whether the area is safe or not rather than providing information based on other user input).\n⭐ Voice Assistant - executes features on voice commands (this will detect if the sentence consists of few keywords such as 'SOS SMS', to redirect the user on the essential window).\n⭐ Shake - Detects the frequency of shakes and after a certain frequency sends help message with user location to provided contacts.\n⭐ Camera - To capture image (which can be shared from there itself) or and record video (which is automatically stored in gallery).\n⭐ Police stations - Locates all the nearest police stations.\n⭐ Police siren - Plays the police siren just to divert the people who bully.\n⭐ Taxi - One-touch ola cab facility to books cabs for user.\n⭐ News - To guide the users about self-defense techniques which we have planned to extend for providing other useful health emergency guidance.", ,"[""Flutter"",""Google Maps API"",""Crimeometer API""]","{""Category"":""safety and wellbeing"",""average predictions"":0.742814}",safety and wellbeing
Drent,A decentralized C2C renting marketplace,https://devfolio.co/submissions/drent-2ddd,"[""https://bitbucket.org/manav2401/drent/src/main/"",""https://www.notion.so/Ethereum-India-Fellowship-2-0-a785f5663cff4c27862da137202d6e34""]","The problem Drent solves\nDrent is a decentralized C2C renting marketplace with almost no platform fees. The platform aims at solving the problem of optimal resource utilization. It provides flexibility for almost any user to put their unused products on rent and get paid. While on the other hand, it allows any user to borrow any product instead of investing a high amount in buying them. It solves the shortcomings of a centralized B2C marketplace such as not allowing users to rent their products or complete governance of a single party and transparency.\nSpecifications:\nDispute Resolving Mechanism: For such a marketplace, involving no middleman, a mechanism to govern and resolve disputes with fund management is required. Drent provides a mechanism for users to create a dispute upon an existing order and by the wisdom of crowds principle, users of the platform collectively vote and help in resolution. Hence no central parties can manipulate decisions. The voters stake an economic value in the platform which is locked in a contract and upon crowdsourced decision, results are declared and stakes (with rewards to winners) are released.\nThe platform maintains a reputation based on the events performed, which in turn benefits while paying the collateral amount.\nIn conjunction, the platform offers\nLightning-fast transactions powered by Matic Network.\nGasless Meta Transactions powered by Biconomy.\nDistributed storage powered by IPFS.\nInterest generation on tokens powered by Aave Protocol (partially implemented).", ,"[""Solidity"",""IPFS"",""ethers.js"",""Matic"",""MongoDB"",""Nodejs"",""Truffle Suite"",""React.""]","{""Category"":""science and research"",""average predictions"":0.443389}",science and research
ADTech Alcohol Sensing and Engine Blocking System,Life Matters,https://devfolio.co/submissions/adtech-alcohol-sensing-and-engine-blocking-system-16d4,"[""https://github.com/RohithRao0507/AD-Tech-alcohol-detector.git"",""https://antidrunkcaralertsystem.hashnode.dev/anti-drunk-car-alert-system""]","The problem ADTech Alcohol Sensing and Engine Blocking System solves\nThe proposed system here is designed to minimise the occurrence of countless mishaps due to the drunken driver. Nowadays, drunk driving causes road accidents every now and then across the world. So, these activities should be required to automatically handle an implementation of smart alert system or vigilance in a vehicle which is an objective of this system. So the system we came up with is Anti Drunk Car Alert System.\nA high-sensitivity alcohol sensor is built near the steering, used in non contact mode the sensor is fixed at certain distance from the driver.Which is able to detect the presence of alcohol as he or she attempts to start driving. When the alcohol-level detected is above the pre-determined threshold, the system automatically locks the transmission, immobilizing the car.\nThereby minimizing the chances of any mishaps that can happen, this project presents a way to avoid drunk and drive accidents.\nWe made our product more efficient which means better than existing one and while components ,there are around 2-3 different featured components so selecting them and checking which one is better and which combination gives our product best is the biggest complication. Even though this solution gave us some setbacks and complications we made a product i useful needed for the car safety which is lacking throughout these years.", ,"[""Arduino Uno"",""Arduino IDE"",""Relay Module"",""battery"",""We have used:"",""Button"",""MQ-3 Sensor"",""DC Motor""]","{""Category"":""general wellfare"",""average predictions"":0.211321}",general wellfare
Edu V,E- learning for the future,https://devfolio.co/submissions/edu-v-e8b0,"[""https://github.com/AdityaDeodeshmukh/EDUV-ARFiles"",""https://github.com/sahas-01/Flutter-files""]","The problem Edu V solves\nEDU-V is an online platform for learners to connect with trainers from various fields. It is a platform to learn and perform experiments and to learn new skills or honing already existing ones. It helps people living in remote areas to connect with educators and fellow peers from all around the world. There is also a feature of Virtual Labs on offer which would enable students to perform experiments like they would do physically in a lab at the comfort of their homes(using Augmented Reality). Since we are living in an unprecedented situation, this platform would not only make learning easier, but would also give students a classroom like experience.\nFor example,if a student wants to perform a physics experiment, he/she would choose the subject, followed by the experiment that he/she would like to perform, following which the user will be redirected to a tab wherein he would be asked to choose to perform the experiment individually, or whether he would like to collaborate with a friend and perform the same.\nThis way it does not become monotonous for a student who is at home all alone staring at a laptop screen.",Top 12,"[""Unity"",""Vuforia"",""Blender"",""Autodesk Maya""]","{""Category"":""health and wellness"",""average predictions"":0.174683}",health and wellness
Vs code,vs,https://devfolio.co/submissions/vs-code-cc18,"[""https://youtu.be/y1SsyY7Qnx8""]","The problem Vs code solves\nvs code", ,"[""Visual Studio Code is a freeware source-code editor made by Microsoft for Windows"",""Linux and macOS. Features include support for debugging"",""syntax highlighting"",""intelligent code completion"",""snippets""]","{""Category"":""technology"",""average predictions"":0.160556}",technology
DONTRACK,donate and track,https://devfolio.co/submissions/dontrack-b540,"[""https://github.com/ishaagarwal01/Dontrack-Shecodes-ShehacksDTU"",""https://www.canva.com/design/DAEbLmQF0bo/7MQVkuaKfBke7cZ8lXX3dw/view?utm_content=DAEbLmQF0bo&utm_campaign=designshare&utm_medium=link&utm_source=sharebutton""]","The problem DONTRACK solves\nThere are thousands of nonprofit organizations in the nonprofit sector, and each serves a particular purpose. Many people tend to fund those NGO’s but keep doubts that if there donation goes in the safe hands? \nThere’s no single formula for nonprofit application development, but there are a few common elements that help these apps succeed. To solve this randomness we come up with “DONTRACK” – which is a one stop platform for donation and tracking of several NGO’s.", ,"[""HTML"",""CSS"",""JS"",""ConceilJS Tezos""]","{""Category"":""education"",""average predictions"":0.201609}",education
AnonyMate,Anonymate is a Counselling platform specially built for school students that helps students excel in their life by dealing with day to day life stresses.,https://devfolio.co/submissions/anonymate-57fb,"[""https://github.com/aarushi353/AnonyMate-SheHacksDTU""]","The problem AnonyMate solves\nThey can freely communicate with the counsellor without worrying about their confidentiality", ,"[""HTML"",""Bootstrap"",""Django"",""JavaScript"",""SQLite"",""CSS3""]","{""Category"":""education"",""average predictions"":0.141552}",education
DataVault,"A secure, legal and complete way to trade Data.",https://devfolio.co/submissions/datavault-7da5,"[""https://github.com/Naman-Monga/Hacko-44-devX""]","The problem DataVault solves\nTrading data online in the current world is not only very inefficient but also sometime illegal. Our Platform solves both the problems.", ,"[""Solidity"",""Django"",""Machine Learning"",""Ethereum TestRPC"",""Python"",""Charts.js"",""Nodejs""]","{""Category"":""mental health"",""average predictions"":0.173333}",mental health
Peer IO,Review | Grow | Share,https://devfolio.co/submissions/peer-io-7356,"[""https://github.com/Peer-IO/haxplore-2.0-submissions""]","The problem Peer IO solves\nPeer IO is not just a tool that can provide you with insights into your students’ performance and save you time. It also creates a much better learning experience for your students. Don’t believe us? There’s a bunch of studies that actually prove that it can increase learning up to 30%!\nIn the online post-pandemic world, more and more educational institutions are shifting to the online mode of education. While they are not the best alternative but they seem to do the task. But the situation has been dire where students aren't able to learn from each other and easily receive a review on their work from respective mentors and guides.\nWith Peer IO we intend on solving this issue. So what does Peer IO provide\nAbility to create new assignments and courses for teachers\nAnonymous Feedback and Review amongst students\nGrading system with normalization\nTracking of interaction among students for teachers", ,"[""Express.js"",""MongoDB"",""MongoDB Atlas"",""axios"",""NuxtJS"",""Nodejs"",""VueJS""]","{""Category"":""education"",""average predictions"":0.268699}",education
